,year,temp_avg,temp_min,temp_max
163,2023-08,27.2,24.3,30.8
164,2023-09,23.7,20.2,27.6
165,2023-10,15.8,11.5,21.0
166,2023-11,6.8,2.9,11.5
167,2023-12,1.1,-2.5,5.2
168,2024-01,-0.5,-3.9,3.6
169,2024-02,3.8,0.2,8.2
170,2024-03,7.0,2.4,12.0
171,2024-04,,,
172,,,,
