title,singer,years,chartin_counts
꽃송이가,버스커 버스커,"[2012, 2013, 2014, 2015, 2016]",5
"나만, 봄",볼빨간사춘기,"[2019, 2020, 2023]",3
벚꽃 엔딩,버스커 버스커,"[2012, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",8
봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유","[2014, 2015, 2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024]",10
봄이 좋냐??,10CM,"[2016, 2017, 2018]",3
여수 밤바다,버스커 버스커,"[2012, 2013, 2016]",3
우연히 봄,"로꼬, 유주 (YUJU)","[2015, 2016, 2020, 2022, 2023, 2024]",6
