rank,title,singer,album,dates
57,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.04.08 ~ 2024.04.14
58,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.04.08 ~ 2024.04.14
59,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.04.08 ~ 2024.04.14
60,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,2024.04.08 ~ 2024.04.14
61,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.04.08 ~ 2024.04.14
62,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.04.08 ~ 2024.04.14
63,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.04.08 ~ 2024.04.14
64,해요 (2022),#안녕,해요 (2022),2024.04.08 ~ 2024.04.14
65,Kitsch,IVE (아이브),I've IVE,2024.04.08 ~ 2024.04.14
66,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.04.08 ~ 2024.04.14
67,물론,허각,물론,2024.04.08 ~ 2024.04.14
68,우리들의 블루스,임영웅,IM HERO,2024.04.08 ~ 2024.04.14
69,혹시 세상에 혼자 남겨진 것 같다면,우디 (Woody),When You Alone,2024.04.08 ~ 2024.04.14
70,모래 알갱이,임영웅,모래 알갱이,2024.04.08 ~ 2024.04.14
71,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.04.08 ~ 2024.04.14
72,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,2024.04.08 ~ 2024.04.14
73,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.04.08 ~ 2024.04.14
74,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.04.08 ~ 2024.04.14
75,봄이 와도,로이킴,봄이 와도,2024.04.08 ~ 2024.04.14
76,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.04.08 ~ 2024.04.14
77,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.04.08 ~ 2024.04.14
78,WAY 4 LUV,PLAVE,ASTERUM : 134-1,2024.04.08 ~ 2024.04.14
79,우연히 봄,"로꼬, 유주 (YUJU)",냄새를 보는 소녀 OST Part.2,2024.04.08 ~ 2024.04.14
80,After LIKE,IVE (아이브),After LIKE,2024.04.08 ~ 2024.04.14
81,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),Yes or No,2024.04.08 ~ 2024.04.14
82,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.04.08 ~ 2024.04.14
83,Standing Next to You,정국,GOLDEN,2024.04.08 ~ 2024.04.14
84,다시 만날 수 있을까,임영웅,IM HERO,2024.04.08 ~ 2024.04.14
85,Deja Vu,투모로우바이투게더,minisode 3: TOMORROW,2024.04.08 ~ 2024.04.14
86,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.04.08 ~ 2024.04.14
87,Do or Die,임영웅,Do or Die,2024.04.08 ~ 2024.04.14
88,영원,DK(디셈버),영원 (남은 인생 10년 X DK(디셈버)),2024.04.08 ~ 2024.04.14
89,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.04.08 ~ 2024.04.14
90,무지개,임영웅,IM HERO,2024.04.08 ~ 2024.04.14
91,Smoothie,NCT DREAM,DREAM( )SCAPE,2024.04.08 ~ 2024.04.14
92,OMG,NewJeans,NewJeans 'OMG',2024.04.08 ~ 2024.04.14
93,개화 (Flowering),LUCY,DEAR.,2024.04.08 ~ 2024.04.14
94,London Boy,임영웅,Polaroid,2024.04.08 ~ 2024.04.14
95,Discord,QWER,1st Single Album 'Harmony from Discord',2024.04.08 ~ 2024.04.14
96,아버지,임영웅,IM HERO,2024.04.08 ~ 2024.04.14
97,Polaroid,임영웅,Polaroid,2024.04.08 ~ 2024.04.14
98,좋아해요,폴킴,눈물의 여왕 OST Part.6,2024.04.08 ~ 2024.04.14
99,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.04.08 ~ 2024.04.14
100,우리 영화,PLAVE,ASTERUM : 134-1,2024.04.08 ~ 2024.04.14
