title,singer,year,chartin_counts
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"[2019, 2020, 2021, 2022]",4
우리 왜 헤어져야 해,신예영,"[2019, 2020, 2021]",3
우리들의 블루스,임영웅,"[2024, 2022, 2023]",3
우연히 봄,"로꼬, 유주 (YUJU)","[2016, 2020, 2022, 2023, 2024, 2015]",6
이제 나만 믿어요,임영웅,"[2020, 2021, 2022, 2023, 2024]",5
인생찬가,임영웅,"[2024, 2022, 2023]",3
자니 (Feat. Dynamic Duo),프라이머리,"[2012, 2013, 2014]",3
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"[2019, 2020, 2021, 2022]",4
주저하는 연인들을 위해,잔나비,"[2019, 2020, 2022, 2023, 2024]",5
첫 눈,EXO,"[2021, 2022, 2023, 2024, 2013]",5
첫눈처럼 너에게 가겠다,에일리(Ailee),"[2017, 2018, 2019]",3
취기를 빌려 (취향저격 그녀 X 산들),산들,"[2020, 2021, 2022]",3
취중고백,김민석,"[2024, 2021, 2022, 2023]",4
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2012, 2013, 2014, 2015]",13
피 땀 눈물,방탄소년단,"[2016, 2017, 2018]",3
한숨,이하이,"[2016, 2017, 2018]",3
해요 (2022),#안녕,"[2024, 2022, 2023]",3
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"[2019, 2020, 2021, 2022]",4
