rank,title,singer,album,date,like
53,파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',부석순 (SEVENTEEN),2024.01.01 ~ 2024.01.07,189183
54,주저하는 연인들을 위해,전설,잔나비,2024.01.01 ~ 2024.01.07,416713
55,해요 (2022),해요 (2022),#안녕,2024.01.01 ~ 2024.01.07,97847
56,화이트 (White),화이트 (White),폴킴,2024.01.01 ~ 2024.01.07,18808
57,눈이 오잖아(Feat.헤이즈),눈이 오잖아(Feat.헤이즈),이무진,2024.01.01 ~ 2024.01.07,135134
58,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),"경서예지, 전건호",2024.01.01 ~ 2024.01.07,188351
59,MANIAC,The 4th Mini Album 'VERSUS',VIVIZ (비비지),2024.01.01 ~ 2024.01.07,53226
60,GODS,2023 리그 오브 레전드 월드 챔피언십 주제곡,"NewJeans, League of Legends",2024.01.01 ~ 2024.01.07,46121
61,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,폴킴,2024.01.01 ~ 2024.01.07,438825
62,우리들의 블루스,IM HERO,임영웅,2024.01.01 ~ 2024.01.07,104401
63,Attention,NewJeans 1st EP 'New Jeans',NewJeans,2024.01.01 ~ 2024.01.07,239209
64,Dangerously,Nine Track Mind (Deluxe Edition),Charlie Puth,2024.01.01 ~ 2024.01.07,208897
65,Dynamite,Dynamite (DayTime Version),방탄소년단,2024.01.01 ~ 2024.01.07,462975
66,손오공,SEVENTEEN 10th Mini Album ‘FML',세븐틴 (SEVENTEEN),2024.01.01 ~ 2024.01.07,171472
67,사랑..그게 뭔데,사랑..그게 뭔데,지아,2024.01.01 ~ 2024.01.07,42969
68,그대가 내 안에 박혔다(그내박),그대가 내 안에 박혔다(그내박),순순희(기태),2024.01.01 ~ 2024.01.07,39721
69,나에게 그대만이,나에게 그대만이,탑현,2024.01.01 ~ 2024.01.07,51281
70,Do or Die,Do or Die,임영웅,2024.01.01 ~ 2024.01.07,41990
71,"그대가 있는 곳, 언제 어디든",로이킴 X 마이데몬,로이킴,2024.01.01 ~ 2024.01.07,27217
72,Snowman,Everyday Is Christmas (Snowman Deluxe Edition),Sia,2024.01.01 ~ 2024.01.07,265302
73,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM (르세라핌),2024.01.01 ~ 2024.01.07,122399
74,모래 알갱이,모래 알갱이,임영웅,2024.01.01 ~ 2024.01.07,59530
75,I Love My Body,I Love My Body,화사 (HWASA),2024.01.01 ~ 2024.01.07,34640
76,한 페이지가 될 수 있게,The Book of Us : Gravity,DAY6 (데이식스),2024.01.01 ~ 2024.01.07,262086
77,다시 만날 수 있을까,IM HERO,임영웅,2024.01.01 ~ 2024.01.07,84905
78,봄날,YOU NEVER WALK ALONE,방탄소년단,2024.01.01 ~ 2024.01.07,561624
79,예뻤어,Every DAY6 February,DAY6 (데이식스),2024.01.01 ~ 2024.01.07,300395
80,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,2024.01.01 ~ 2024.01.07,174401
81,Butter,Butter,방탄소년단,2024.01.01 ~ 2024.01.07,296561
82,무지개,IM HERO,임영웅,2024.01.01 ~ 2024.01.07,74070
83,"밤, 바다",여행: 플리(playlist) OST Part.2,최유리,2024.01.01 ~ 2024.01.07,33738
84,크리스마스니까,Jelly Christmas 2012 HEART PROJECT,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",2024.01.01 ~ 2024.01.07,171262
85,아버지,IM HERO,임영웅,2024.01.01 ~ 2024.01.07,59499
86,London Boy,Polaroid,임영웅,2024.01.01 ~ 2024.01.07,60758
87,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY 1st Mini Album [Rose Blossom],H1-KEY (하이키),2024.01.01 ~ 2024.01.07,109861
88,Summer (Feat. BE’O (비오)),Summer,Paul Blanco,2024.01.01 ~ 2024.01.07,133774
