rank,title,singer,album,date,like,year,month,day,week,season
6,인사,범진,인사,2024.01.08,107860,2023,1,8,2,1
7,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.08,287040,2023,1,8,2,1
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.08,98248,2023,1,8,2,1
9,Baddie,IVE (아이브),I'VE MINE,2024.01.08,68660,2023,1,8,2,1
10,에피소드,이무진,에피소드,2024.01.08,68436,2023,1,8,2,1
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.08,208123,2023,1,8,2,1
12,Love Lee,AKMU (악뮤),Love Lee,2024.01.08,121202,2023,1,8,2,1
14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.08,69423,2023,1,8,2,1
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.08,125291,2023,1,8,2,1
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08,162158,2023,1,8,2,1
18,Get A Guitar,RIIZE,Get A Guitar,2024.01.08,90308,2023,1,8,2,1
19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.08,85750,2023,1,8,2,1
21,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08,120579,2023,1,8,2,1
22,Love 119,RIIZE,Love 119,2024.01.08,95314,2023,1,8,2,1
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.08,79716,2023,1,8,2,1
27,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.08,76423,2023,1,8,2,1
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.08,436857,2023,1,8,2,1
29,Standing Next to You,정국,GOLDEN,2024.01.08,69126,2023,1,8,2,1
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.08,56143,2023,1,8,2,1
32,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.08,58526,2023,1,8,2,1
35,Either Way,IVE (아이브),I'VE MINE,2024.01.08,75891,2023,1,8,2,1
37,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.08,37937,2023,1,8,2,1
38,Fast Forward,전소미,GAME PLAN,2024.01.08,76086,2023,1,8,2,1
41,Off The Record,IVE (아이브),I'VE MINE,2024.01.08,57439,2023,1,8,2,1
44,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.08,53388,2023,1,8,2,1
47,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.08,172300,2023,1,8,2,1
48,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.08,39656,2023,1,8,2,1
49,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.08,89122,2023,1,8,2,1
51,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.08,39838,2023,1,8,2,1
57,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.08,57797,2023,1,8,2,1
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.08,135142,2023,1,8,2,1
63,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.08,42790,2023,1,8,2,1
64,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.08,301222,2023,1,8,2,1
70,나에게 그대만이,탑현,나에게 그대만이,2024.01.08,51314,2023,1,8,2,1
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.08,27279,2023,1,8,2,1
72,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.08,46175,2023,1,8,2,1
73,I Love You,안세하,I Love You,2024.01.08,19440,2023,1,8,2,1
74,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.08,262712,2023,1,8,2,1
75,모래 알갱이,임영웅,모래 알갱이,2024.01.08,59564,2023,1,8,2,1
76,Do or Die,임영웅,Do or Die,2024.01.08,42018,2023,1,8,2,1
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.08,34652,2023,1,8,2,1
80,화이트 (White),폴킴,화이트 (White),2024.01.08,18814,2023,1,8,2,1
82,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.08,265321,2023,1,8,2,1
86,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.08,33824,2023,1,8,2,1
92,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.08,133867,2023,1,8,2,1
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.08,245738,2023,1,8,2,1
94,숲,최유리,유영,2024.01.08,113667,2023,1,8,2,1
97,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.08,59980,2023,1,8,2,1
98,Yes or No,정국,GOLDEN,2024.01.08,38696,2023,1,8,2,1
99,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.08,31234,2023,1,8,2,1
1,비의 랩소디,임재현,비의 랩소디,2024.01.15,68931,2023,1,15,3,1
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.15,143931,2023,1,15,3,1
3,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.15,114191,2023,1,15,3,1
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.15,85818,2023,1,15,3,1
6,에피소드,이무진,에피소드,2024.01.15,68436,2023,1,15,3,1
7,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.15,98248,2023,1,15,3,1
8,인사,범진,인사,2024.01.15,107860,2023,1,15,3,1
9,Baddie,IVE (아이브),I'VE MINE,2024.01.15,68660,2023,1,15,3,1
10,Love 119,RIIZE,Love 119,2024.01.15,95314,2023,1,15,3,1
11,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.15,287040,2023,1,15,3,1
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.15,208123,2023,1,15,3,1
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.15,121202,2023,1,15,3,1
15,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.15,69423,2023,1,15,3,1
16,Get A Guitar,RIIZE,Get A Guitar,2024.01.15,90308,2023,1,15,3,1
17,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.15,125291,2023,1,15,3,1
19,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15,162158,2023,1,15,3,1
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.15,85750,2023,1,15,3,1
