rank,title,singer,album,date,like,month,year,season
62,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,2020.03.02.01,176894,3,2020,spring
63,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7,2020.03.02.01,123364,3,2020,spring
64,니 소식,송하예,니 소식,2020.03.02.01,208908,3,2020,spring
65,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2020.03.02.01,168290,3,2020,spring
66,잘 지내고 있는지 궁금해,V.O.S,잘 지내고 있는지 궁금해,2020.03.02.01,36977,3,2020,spring
67,이별주,황인욱,이별주,2020.03.02.01,65210,3,2020,spring
68,버릇처럼 셋을 센다,KCM,버릇처럼 셋을 센다,2020.03.02.01,45507,3,2020,spring
69,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,2020.03.02.01,211184,3,2020,spring
70,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.03.02.01,171629,3,2020,spring
71,Respect,방탄소년단,MAP OF THE SOUL : 7,2020.03.02.01,114789,3,2020,spring
72,봄날,방탄소년단,YOU NEVER WALK ALONE,2020.03.02.01,561706,3,2020,spring
73,너의 하루는 좀 어때,거미,낭만닥터 김사부 2 OST Part.2,2020.03.02.01,43724,3,2020,spring
74,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7,2020.03.02.01,118819,3,2020,spring
75,ROXANNE,Arizona Zervas,ROXANNE,2020.03.02.01,99065,3,2020,spring
76,내가 많이 사랑해요,이승철,달빛조각사 웹툰 OST Part.1,2020.03.02.01,64634,3,2020,spring
77,노을,다비치,사랑의 불시착 OST Part 3,2020.03.02.01,42414,3,2020,spring
78,미친 사랑의 노래,씨야,See You Again,2020.03.02.01,33160,3,2020,spring
79,주저하는 연인들을 위해,잔나비,전설,2020.03.02.01,416857,3,2020,spring
80,comethru,Jeremy Zucker,"summer,",2020.03.02.01,236802,3,2020,spring
81,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,2020.03.02.01,119164,3,2020,spring
82,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,2020.03.02.01,243688,3,2020,spring
83,이 번호로 전화해줘,바이브,이 번호로 전화해줘,2020.03.02.01,69822,3,2020,spring
84,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,2020.03.02.01,83582,3,2020,spring
85,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),2020.03.02.01,83362,3,2020,spring
86,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),2020.03.02.01,273723,3,2020,spring
87,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3,2020.03.02.01,126907,3,2020,spring
88,워커홀릭,볼빨간사춘기,Two Five,2020.03.02.01,152787,3,2020,spring
89,Go away go away,"찬열 (CHANYEOL), 펀치 (Punch)",낭만닥터 김사부 2 OST Part.3,2020.03.02.01,62918,3,2020,spring
90,Maniac,Conan Gray,Maniac,2020.03.02.01,172247,3,2020,spring
91,PAY DAY (Prod. GRAY),"창모 (CHANGMO), ASH ISLAND, 정기고","PAY DAY with KozyPop (코지팝 X 창모, 애쉬아일랜드, 정기고, 그레이)",2020.03.02.01,37526,3,2020,spring
92,솔직히 지친다,청하,솔직히 지친다.newwav,2020.03.02.01,23300,3,2020,spring
93,돌아와 줘,전상근,돌아와 줘,2020.03.02.01,27090,3,2020,spring
94,바빠서 (Feat. 헤이즈),개코,바빠서,2020.03.02.01,31796,3,2020,spring
95,잘 살고 있다,V.O.S,잘 살고 있다,2020.03.02.01,40696,3,2020,spring
96,Know Me Too Well,"New Hope Club, Danna Paola",Know Me Too Well,2020.03.02.01,99147,3,2020,spring
97,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2,2020.03.02.01,80892,3,2020,spring
98,나의 모든 날,김세정,사랑의 불시착 OST Part 8,2020.03.02.01,39364,3,2020,spring
99,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,2020.03.02.01,124369,3,2020,spring
100,Obsession,EXO,OBSESSION - The 6th Album,2020.03.02.01,126034,3,2020,spring
1,아무노래,지코 (ZICO),아무노래,2020.03.09.02,281594,3,2020,spring
2,마음을 드려요,아이유,사랑의 불시착 OST Part 11,2020.03.09.02,257368,3,2020,spring
3,ON,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,262003,3,2020,spring
4,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,2020.03.09.02,259483,3,2020,spring
5,METEOR,창모 (CHANGMO),Boyhood,2020.03.09.02,307075,3,2020,spring
6,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2020.03.09.02,217388,3,2020,spring
7,그때 그 아인,김필,이태원 클라쓰 OST Part.6,2020.03.09.02,151441,3,2020,spring
8,Blueming,아이유,Love poem,2020.03.09.02,364439,3,2020,spring
9,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2020.03.09.02,319194,3,2020,spring
10,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ,2020.03.09.02,148109,3,2020,spring
11,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4,2020.03.09.02,139295,3,2020,spring
12,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2020.03.09.02,245958,3,2020,spring
13,WANNABE,ITZY (있지),IT'z ME,2020.03.09.02,126090,3,2020,spring
14,Black Swan,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,199857,3,2020,spring
15,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,189064,3,2020,spring
16,둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10,2020.03.09.02,60125,3,2020,spring
17,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2020.03.09.02,445220,3,2020,spring
18,반만,진민호,반만,2020.03.09.02,75605,3,2020,spring
19,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,2020.03.09.02,211184,3,2020,spring
20,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3,2020.03.09.02,126907,3,2020,spring
21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2020.03.09.02,436857,3,2020,spring
22,HIP,마마무 (Mamamoo),reality in BLACK,2020.03.09.02,141390,3,2020,spring
23,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2020.03.09.02,289430,3,2020,spring
24,친구,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,186516,3,2020,spring
25,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,2020.03.09.02,180904,3,2020,spring
26,2002,Anne-Marie,Speak Your Mind (Deluxe),2020.03.09.02,415365,3,2020,spring
27,Love poem,아이유,Love poem,2020.03.09.02,353279,3,2020,spring
28,안녕,폴킴,호텔 델루나 OST Part.10,2020.03.09.02,222303,3,2020,spring
29,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,2020.03.09.02,299856,3,2020,spring
30,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 2),2020.03.09.02,168208,3,2020,spring
31,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,2020.03.09.02,143199,3,2020,spring
32,Filter,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,158978,3,2020,spring
33,조금 취했어 (Prod. 2soo),임재현,조금 취했어,2020.03.09.02,133875,3,2020,spring
34,어떤 날엔,김재환,사랑의 불시착 OST Part 5,2020.03.09.02,66366,3,2020,spring
35,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,2020.03.09.02,75581,3,2020,spring
36,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2020.03.09.02,225941,3,2020,spring
37,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2020.03.09.02,438895,3,2020,spring
38,빌었어,창모 (CHANGMO),Boyhood,2020.03.09.02,153890,3,2020,spring
39,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2020.03.09.02,144693,3,2020,spring
40,시차,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,141851,3,2020,spring
41,다시 만날까 봐,V.O.S,다시 만날까 봐,2020.03.09.02,100131,3,2020,spring
42,Moon,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,163205,3,2020,spring
43,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2020.03.09.02,269273,3,2020,spring
44,사랑의 인사,씨야,See You Again,2020.03.09.02,63312,3,2020,spring
45,Inner Child,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,144676,3,2020,spring
46,포장마차,황인욱,포장마차,2020.03.09.02,166111,3,2020,spring
47,나의 오랜 연인에게,다비치,나의 오랜 연인에게,2020.03.09.02,92610,3,2020,spring
48,Flower,윤미래,사랑의 불시착 OST Part 2,2020.03.09.02,59642,3,2020,spring
49,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),2020.03.09.02,312915,3,2020,spring
50,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",2020.03.09.02,77335,3,2020,spring
51,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,2020.03.09.02,132378,3,2020,spring
52,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,147198,3,2020,spring
53,Sweet Night,V,이태원 클라쓰 OST Part.12,2020.03.09.02,124647,3,2020,spring
54,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,2020.03.09.02,235558,3,2020,spring
55,Painkiller,Ruel,Painkiller,2020.03.09.02,183344,3,2020,spring
56,너를 만나,폴킴,너를 만나,2020.03.09.02,328645,3,2020,spring
57,문득,노을,문득,2020.03.09.02,35513,3,2020,spring
58,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,127098,3,2020,spring
59,Birthday,Anne-Marie,Birthday,2020.03.09.02,91731,3,2020,spring
60,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,128120,3,2020,spring
61,있어줘요,장덕철,있어줘요,2020.03.09.02,90442,3,2020,spring
62,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들,2020.03.09.02,82281,3,2020,spring
63,미친 소리,이예준,미친 소리,2020.03.09.02,76949,3,2020,spring
64,버릇처럼 셋을 센다,KCM,버릇처럼 셋을 센다,2020.03.09.02,45507,3,2020,spring
65,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,2020.03.09.02,176894,3,2020,spring
66,새 사랑,송하예,새 사랑,2020.03.09.02,102264,3,2020,spring
67,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2020.03.09.02,168290,3,2020,spring
68,니 소식,송하예,니 소식,2020.03.09.02,208908,3,2020,spring
69,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,123364,3,2020,spring
70,Maniac,Conan Gray,Maniac,2020.03.09.02,172247,3,2020,spring
71,봄날,방탄소년단,YOU NEVER WALK ALONE,2020.03.09.02,561706,3,2020,spring
72,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",BAND,2020.03.09.02,142207,3,2020,spring
73,잘 지내고 있는지 궁금해,V.O.S,잘 지내고 있는지 궁금해,2020.03.09.02,36977,3,2020,spring
74,ROXANNE,Arizona Zervas,ROXANNE,2020.03.09.02,99065,3,2020,spring
75,내 마음의 사진,송가인,사랑의 불시착 OST Part 6,2020.03.09.02,52971,3,2020,spring
76,Respect,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,114789,3,2020,spring
77,주저하는 연인들을 위해,잔나비,전설,2020.03.09.02,416857,3,2020,spring
78,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7,2020.03.09.02,118819,3,2020,spring
79,이별주,황인욱,이별주,2020.03.09.02,65210,3,2020,spring
80,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.03.09.02,171629,3,2020,spring
81,comethru,Jeremy Zucker,"summer,",2020.03.09.02,236802,3,2020,spring
82,Say,윤미래,이태원 클라쓰 OST Part.8,2020.03.09.02,23573,3,2020,spring
83,너의 하루는 좀 어때,거미,낭만닥터 김사부 2 OST Part.2,2020.03.09.02,43724,3,2020,spring
84,영웅 (英雄; Kick It),NCT 127,NCT #127 Neo Zone - The 2nd Album,2020.03.09.02,152346,3,2020,spring
85,미친 사랑의 노래,씨야,See You Again,2020.03.09.02,33160,3,2020,spring
86,내가 많이 사랑해요,이승철,달빛조각사 웹툰 OST Part.1,2020.03.09.02,64634,3,2020,spring
87,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,2020.03.09.02,119164,3,2020,spring
88,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,2020.03.09.02,243688,3,2020,spring
89,Go away go away,"찬열 (CHANYEOL), 펀치 (Punch)",낭만닥터 김사부 2 OST Part.3,2020.03.09.02,62918,3,2020,spring
90,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),2020.03.09.02,273723,3,2020,spring
91,이 번호로 전화해줘,바이브,이 번호로 전화해줘,2020.03.09.02,69822,3,2020,spring
92,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,2020.03.09.02,83582,3,2020,spring
93,노을,다비치,사랑의 불시착 OST Part 3,2020.03.09.02,42414,3,2020,spring
94,돌아와 줘,전상근,돌아와 줘,2020.03.09.02,27090,3,2020,spring
95,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),2020.03.09.02,83362,3,2020,spring
96,워커홀릭,볼빨간사춘기,Two Five,2020.03.09.02,152787,3,2020,spring
97,어떤 말도,Crush,이태원 클라쓰 OST Part.11,2020.03.09.02,19378,3,2020,spring
98,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2,2020.03.09.02,80892,3,2020,spring
99,Know Me Too Well,"New Hope Club, Danna Paola",Know Me Too Well,2020.03.09.02,99147,3,2020,spring
100,잘 살고 있다,V.O.S,잘 살고 있다,2020.03.09.02,40696,3,2020,spring
1,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,2020.03.16.03,259483,3,2020,spring
2,아무노래,지코 (ZICO),아무노래,2020.03.16.03,281594,3,2020,spring
3,마음을 드려요,아이유,사랑의 불시착 OST Part 11,2020.03.16.03,257368,3,2020,spring
4,ON,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,262003,3,2020,spring
5,그때 그 아인,김필,이태원 클라쓰 OST Part.6,2020.03.16.03,151441,3,2020,spring
6,METEOR,창모 (CHANGMO),Boyhood,2020.03.16.03,307075,3,2020,spring
7,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2020.03.16.03,319194,3,2020,spring
8,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3,2020.03.16.03,126907,3,2020,spring
9,WANNABE,ITZY (있지),IT'z ME,2020.03.16.03,126090,3,2020,spring
10,Blueming,아이유,Love poem,2020.03.16.03,364439,3,2020,spring
11,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2020.03.16.03,217388,3,2020,spring
12,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ,2020.03.16.03,148109,3,2020,spring
13,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2020.03.16.03,245958,3,2020,spring
14,반만,진민호,반만,2020.03.16.03,75605,3,2020,spring
15,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4,2020.03.16.03,139295,3,2020,spring
16,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2020.03.16.03,445220,3,2020,spring
17,Black Swan,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,199857,3,2020,spring
18,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,189064,3,2020,spring
19,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,2020.03.16.03,211184,3,2020,spring
20,Sweet Night,V,이태원 클라쓰 OST Part.12,2020.03.16.03,124647,3,2020,spring
21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2020.03.16.03,436857,3,2020,spring
22,HIP,마마무 (Mamamoo),reality in BLACK,2020.03.16.03,141390,3,2020,spring
23,둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10,2020.03.16.03,60125,3,2020,spring
24,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2020.03.16.03,289430,3,2020,spring
25,2002,Anne-Marie,Speak Your Mind (Deluxe),2020.03.16.03,415365,3,2020,spring
26,문득,노을,문득,2020.03.16.03,35513,3,2020,spring
27,친구,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,186516,3,2020,spring
28,Love poem,아이유,Love poem,2020.03.16.03,353279,3,2020,spring
29,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,2020.03.16.03,180904,3,2020,spring
30,안녕,폴킴,호텔 델루나 OST Part.10,2020.03.16.03,222303,3,2020,spring
31,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,2020.03.16.03,299856,3,2020,spring
32,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,2020.03.16.03,143199,3,2020,spring
33,조금 취했어 (Prod. 2soo),임재현,조금 취했어,2020.03.16.03,133875,3,2020,spring
34,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 2),2020.03.16.03,168208,3,2020,spring
35,Filter,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,158978,3,2020,spring
36,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2020.03.16.03,438895,3,2020,spring
37,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2020.03.16.03,144693,3,2020,spring
38,어떤 날엔,김재환,사랑의 불시착 OST Part 5,2020.03.16.03,66366,3,2020,spring
39,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,2020.03.16.03,75581,3,2020,spring
40,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2020.03.16.03,225941,3,2020,spring
41,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2020.03.16.03,269273,3,2020,spring
42,다시 만날까 봐,V.O.S,다시 만날까 봐,2020.03.16.03,100131,3,2020,spring
43,빌었어,창모 (CHANGMO),Boyhood,2020.03.16.03,153890,3,2020,spring
44,시차,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,141851,3,2020,spring
45,Moon,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,163205,3,2020,spring
46,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),2020.03.16.03,312915,3,2020,spring
47,사랑의 인사,씨야,See You Again,2020.03.16.03,63312,3,2020,spring
48,포장마차,황인욱,포장마차,2020.03.16.03,166111,3,2020,spring
49,나의 오랜 연인에게,다비치,나의 오랜 연인에게,2020.03.16.03,92610,3,2020,spring
50,Painkiller,Ruel,Painkiller,2020.03.16.03,183344,3,2020,spring
51,Inner Child,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,144676,3,2020,spring
52,Birthday,Anne-Marie,Birthday,2020.03.16.03,91731,3,2020,spring
53,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,2020.03.16.03,235558,3,2020,spring
54,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,2020.03.16.03,132378,3,2020,spring
55,Maniac,Conan Gray,Maniac,2020.03.16.03,172247,3,2020,spring
56,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",2020.03.16.03,77335,3,2020,spring
57,Flower,윤미래,사랑의 불시착 OST Part 2,2020.03.16.03,59642,3,2020,spring
58,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,147198,3,2020,spring
59,너를 만나,폴킴,너를 만나,2020.03.16.03,328645,3,2020,spring
60,버릇처럼 셋을 센다,KCM,버릇처럼 셋을 센다,2020.03.16.03,45507,3,2020,spring
61,있어줘요,장덕철,있어줘요,2020.03.16.03,90442,3,2020,spring
62,미친 소리,이예준,미친 소리,2020.03.16.03,76949,3,2020,spring
63,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,127098,3,2020,spring
64,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,128120,3,2020,spring
65,To Die For,Sam Smith,To Die For,2020.03.16.03,114033,3,2020,spring
66,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,2020.03.16.03,176894,3,2020,spring
67,찐이야,영탁,내일은 미스터트롯 결승전 베스트,2020.03.16.03,69770,3,2020,spring
68,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2020.03.16.03,168290,3,2020,spring
69,봄날,방탄소년단,YOU NEVER WALK ALONE,2020.03.16.03,561706,3,2020,spring
70,니 소식,송하예,니 소식,2020.03.16.03,208908,3,2020,spring
71,Say,윤미래,이태원 클라쓰 OST Part.8,2020.03.16.03,23573,3,2020,spring
72,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들,2020.03.16.03,82281,3,2020,spring
73,주저하는 연인들을 위해,잔나비,전설,2020.03.16.03,416857,3,2020,spring
74,새 사랑,송하예,새 사랑,2020.03.16.03,102264,3,2020,spring
75,ROXANNE,Arizona Zervas,ROXANNE,2020.03.16.03,99065,3,2020,spring
76,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,123364,3,2020,spring
77,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,118819,3,2020,spring
78,내 마음의 사진,송가인,사랑의 불시착 OST Part 6,2020.03.16.03,52971,3,2020,spring
79,Respect,방탄소년단,MAP OF THE SOUL : 7,2020.03.16.03,114789,3,2020,spring
80,잘 지내고 있는지 궁금해,V.O.S,잘 지내고 있는지 궁금해,2020.03.16.03,36977,3,2020,spring
81,영웅 (英雄; Kick It),NCT 127,NCT #127 Neo Zone - The 2nd Album,2020.03.16.03,152346,3,2020,spring
82,comethru,Jeremy Zucker,"summer,",2020.03.16.03,236802,3,2020,spring
83,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",BAND,2020.03.16.03,142207,3,2020,spring
84,이별주,황인욱,이별주,2020.03.16.03,65210,3,2020,spring
85,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.03.16.03,171629,3,2020,spring
86,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트,2020.03.16.03,79545,3,2020,spring
87,내가 많이 사랑해요,이승철,달빛조각사 웹툰 OST Part.1,2020.03.16.03,64634,3,2020,spring
88,Go away go away,"찬열 (CHANYEOL), 펀치 (Punch)",낭만닥터 김사부 2 OST Part.3,2020.03.16.03,62918,3,2020,spring
89,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,2020.03.16.03,243688,3,2020,spring
90,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),2020.03.16.03,273723,3,2020,spring
91,막걸리 한잔,영탁,내일은 미스터트롯 데스매치 PART1,2020.03.16.03,50743,3,2020,spring
92,미친 사랑의 노래,씨야,See You Again,2020.03.16.03,33160,3,2020,spring
93,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,2020.03.16.03,119164,3,2020,spring
94,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,2020.03.16.03,83582,3,2020,spring
95,너의 하루는 좀 어때,거미,낭만닥터 김사부 2 OST Part.2,2020.03.16.03,43724,3,2020,spring
96,이 번호로 전화해줘,바이브,이 번호로 전화해줘,2020.03.16.03,69822,3,2020,spring
97,워커홀릭,볼빨간사춘기,Two Five,2020.03.16.03,152787,3,2020,spring
98,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2,2020.03.16.03,80892,3,2020,spring
99,Know Me Too Well,"New Hope Club, Danna Paola",Know Me Too Well,2020.03.16.03,99147,3,2020,spring
100,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),2020.03.16.03,83362,3,2020,spring
1,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,2020.03.23.04,259483,3,2020,spring
2,그때 그 아인,김필,이태원 클라쓰 OST Part.6,2020.03.23.04,151441,3,2020,spring
3,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,2020.03.23.04,117959,3,2020,spring
4,아무노래,지코 (ZICO),아무노래,2020.03.23.04,281594,3,2020,spring
5,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3,2020.03.23.04,126907,3,2020,spring
6,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2020.03.23.04,319194,3,2020,spring
7,마음을 드려요,아이유,사랑의 불시착 OST Part 11,2020.03.23.04,257368,3,2020,spring
8,ON,방탄소년단,MAP OF THE SOUL : 7,2020.03.23.04,262003,3,2020,spring
9,METEOR,창모 (CHANGMO),Boyhood,2020.03.23.04,307075,3,2020,spring
10,WANNABE,ITZY (있지),IT'z ME,2020.03.23.04,126090,3,2020,spring
11,Blueming,아이유,Love poem,2020.03.23.04,364439,3,2020,spring
12,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2020.03.23.04,217388,3,2020,spring
13,반만,진민호,반만,2020.03.23.04,75605,3,2020,spring
14,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ,2020.03.23.04,148109,3,2020,spring
15,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2020.03.23.04,245958,3,2020,spring
16,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2020.03.23.04,445220,3,2020,spring
17,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4,2020.03.23.04,139295,3,2020,spring
18,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,2020.03.23.04,211184,3,2020,spring
19,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,2020.03.23.04,189064,3,2020,spring
20,Black Swan,방탄소년단,MAP OF THE SOUL : 7,2020.03.23.04,199857,3,2020,spring
21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2020.03.23.04,436857,3,2020,spring
