rank,title,singer,album,date,like,month,year,season
53,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.01.01,189258,1,2024,winter
54,주저하는 연인들을 위해,잔나비,전설,2024.01.01.01,416855,1,2024,winter
55,해요 (2022),#안녕,해요 (2022),2024.01.01.01,97912,1,2024,winter
56,화이트 (White),폴킴,화이트 (White),2024.01.01.01,18814,1,2024,winter
57,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.01.01,135142,1,2024,winter
58,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.01.01,188432,1,2024,winter
59,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.01.01,53388,1,2024,winter
60,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.01.01,46175,1,2024,winter
61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.01.01,438895,1,2024,winter
62,우리들의 블루스,임영웅,IM HERO,2024.01.01.01,104437,1,2024,winter
63,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.01.01,239228,1,2024,winter
64,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.01.01,209035,1,2024,winter
65,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.01.01,463005,1,2024,winter
66,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.01.01,171550,1,2024,winter
67,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.01.01,43042,1,2024,winter
68,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.01.01,39838,1,2024,winter
69,나에게 그대만이,탑현,나에게 그대만이,2024.01.01.01,51314,1,2024,winter
70,Do or Die,임영웅,Do or Die,2024.01.01.01,42018,1,2024,winter
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.01.01,27279,1,2024,winter
72,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.01.01,265321,1,2024,winter
