rank,title,singer,album,date,like,year,month,day,week,season
30,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2012.12.24,236566,2012,12,24,4,1
12,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2012.12.31,171261,2012,12,31,1,1
22,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.07,171261,2012,1,7,2,1
30,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.14,171261,2012,1,14,3,1
44,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.21,171261,2012,1,21,4,1
59,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.01.28,171261,2012,1,28,5,1
73,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.02.04,171261,2012,2,4,1,1
95,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.02.11,171261,2012,2,11,2,1
87,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.02.25,345231,2012,2,25,4,1
30,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.03.04,345231,2013,3,4,1,0
15,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.03.11,345231,2013,3,11,2,0
97,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.03.11,158070,2013,3,11,2,0
1,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.03.18,345231,2013,3,18,3,0
44,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.03.18,158070,2013,3,18,3,0
1,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.03.25,345231,2013,3,25,4,0
34,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.03.25,158070,2013,3,25,4,0
78,꽃송이가,버스커 버스커,슈퍼스타K 4,2013.03.25,3712,2013,3,25,4,0
2,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.04.01,345231,2013,4,1,1,0
46,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.04.01,158070,2013,4,1,1,0
75,꽃송이가,버스커 버스커,슈퍼스타K 4,2013.04.01,3712,2013,4,1,1,0
7,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.04.08,345231,2013,4,8,2,0
86,꽃송이가,버스커 버스커,슈퍼스타K 4,2013.04.08,3712,2013,4,8,2,0
59,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.04.08,158070,2013,4,8,2,0
9,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.04.15,345231,2013,4,15,3,0
93,꽃송이가,버스커 버스커,슈퍼스타K 4,2013.04.15,3712,2013,4,15,3,0
71,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.04.15,158070,2013,4,15,3,0
