year,temp_avg,temp_min,temp_max
"			2022-07",27.3,24.2,31
"			2022-08",25.7,23.1,28.9
"			2022-09",22.4,18.2,27.2
"			2022-10",14.6,10.3,19.7
"			2022-11",10,5.6,15.4
"			2022-12",-2.8,-6.6,1.7
"			2023-01",-1.5,-5.7,3.2
"			2023-02",2.3,-1.9,7.3
"			2023-03",9.8,4.2,16.2
"			2023-04",13.8,8.8,19
"			2023-05",19.5,14.6,25
"			2023-06",23.4,19.7,27.9
"			2023-07",26.7,23.9,30.2
"			2023-08",27.2,24.3,30.8
"			2023-09",23.7,20.2,27.6
"			2023-10",15.8,11.5,21
"			2023-11",6.8,2.9,11.5
"			2023-12",1.1,-2.5,5.2
"			2024-01",-0.5,-3.9,3.6
"			2024-02",3.8,0.2,8.2
"			2024-03",7,2.4,12
"			2024-04",,,
"			",,,
