rank,title,singer,album,date,like
21,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08.02,120579
22,Love 119,RIIZE,Love 119,2024.01.08.02,95314
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.08.02,79716
24,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08.02,287894
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.08.02,143725
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.08.02,212198
27,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.08.02,76423
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.08.02,436857
29,Standing Next to You,정국,GOLDEN,2024.01.08.02,69126
30,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.08.02,206592
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.08.02,56143
32,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.08.02,58526
33,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.08.02,132589
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.08.02,322187
35,Either Way,IVE (아이브),I'VE MINE,2024.01.08.02,75891
36,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.08.02,58696
37,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.08.02,37937
38,Fast Forward,전소미,GAME PLAN,2024.01.08.02,76086
39,OMG,NewJeans,NewJeans 'OMG',2024.01.08.02,200716
40,Kitsch,IVE (아이브),I've IVE,2024.01.08.02,157638
41,Off The Record,IVE (아이브),I'VE MINE,2024.01.08.02,57439
42,취중고백,김민석,취중고백,2024.01.08.02,183412
43,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08.02,116721
44,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.08.02,53388
45,심(心),DK(디셈버),심(心),2024.01.08.02,78700
46,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.08.02,249361
47,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.08.02,172300
48,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.08.02,39656
49,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.08.02,89122
50,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.08.02,202590
