rank,title,singer,album,date,like
8,HIP,마마무 (Mamamoo),reality in BLACK,2019.12.30.01,141390
9,Love poem,아이유,Love poem,2019.12.30.01,353279
10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2019.12.30.01,436857
11,나의 오랜 연인에게,다비치,나의 오랜 연인에게,2019.12.30.01,92610
12,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2019.12.30.01,171629
13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2019.12.30.01,319194
14,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들,2019.12.30.01,82281
15,조금 취했어 (Prod. 2soo),임재현,조금 취했어,2019.12.30.01,133875
16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2019.12.30.01,289430
17,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,2019.12.30.01,78345
18,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,2019.12.30.01,143199
19,안녕,폴킴,호텔 델루나 OST Part.10,2019.12.30.01,222303
20,이 번호로 전화해줘,바이브,이 번호로 전화해줘,2019.12.30.01,69822
21,새 사랑,송하예,새 사랑,2019.12.30.01,102264
22,빌었어,창모 (CHANGMO),Boyhood,2019.12.30.01,153890
23,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,2019.12.30.01,83582
24,있어줘요,장덕철,있어줘요,2019.12.30.01,90442
25,첫 겨울이니까,"성시경, 아이유",첫 겨울이니까,2019.12.30.01,61031
26,2002,Anne-Marie,Speak Your Mind (Deluxe),2019.12.30.01,415365
27,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2019.12.30.01,445220
28,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2019.12.30.01,225941
29,포장마차,황인욱,포장마차,2019.12.30.01,166110
30,니 소식,송하예,니 소식,2019.12.30.01,208908
31,이별주,황인욱,이별주,2019.12.30.01,65210
32,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2019.12.30.01,438895
33,다시 만날까 봐,V.O.S,다시 만날까 봐,2019.12.30.01,100131
34,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, Evan Rachel Wood",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2019.12.30.01,103225
35,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",BAND,2019.12.30.01,142207
36,Obsession,EXO,OBSESSION - The 6th Album,2019.12.30.01,126034
37,시간의 바깥,아이유,Love poem,2019.12.30.01,153067
38,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,2019.12.30.01,124369
39,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,2019.12.30.01,235558
40,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,2019.12.30.01,176894
41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,2019.12.30.01,132378
42,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019.12.30.01,269273
43,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),2019.12.30.01,83362
44,워커홀릭,볼빨간사춘기,Two Five,2019.12.30.01,152787
45,Santa Tell Me,Ariana Grande,Santa Tell Me,2019.12.30.01,246443
46,너를 만나,폴킴,너를 만나,2019.12.30.01,328645
47,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2019.12.30.01,168290
48,술이 문제야,"장혜진, 윤민수(바이브)",술이 문제야,2019.12.30.01,159147
49,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,2019.12.30.01,243688
50,숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON),겨울왕국 2 (한국어 버전),2019.12.30.01,82415
51,가을밤 떠난 너,케이시 (Kassy),Rewind,2019.12.30.01,145409
52,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2019.12.30.01,265321
53,잘 살고 있다,V.O.S,잘 살고 있다,2019.12.30.01,40696
54,Feel Special,TWICE (트와이스),Feel Special,2019.12.30.01,120582
55,허전해,폴킴,"정규 2집 '마음, 하나'",2019.12.30.01,84016
56,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,2019.12.30.01,119164
57,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2019.12.30.01,236565
58,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),2019.12.30.01,273723
59,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),2019.12.30.01,312915
60,Flower,윤미래,사랑의 불시착 OST Part 2,2019.12.30.01,59642
61,중2병,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 3),2019.12.30.01,32258
62,헤어지자 (Prod. 정키),휘인 (Whee In),soar,2019.12.30.01,123403
63,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,2019.12.30.01,75581
64,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott,Aladdin (Original Motion Picture Soundtrack),2019.12.30.01,243307
65,unlucky,아이유,Love poem,2019.12.30.01,131040
66,LION,(여자)아이들,퀸덤 <FINAL 컴백 싱글>,2019.12.30.01,116949
67,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,2019.12.30.01,177085
68,샤넬 (Feat. 박봄),MC몽,CHANNEL 8,2019.12.30.01,46359
69,주저하는 연인들을 위해,잔나비,전설,2019.12.30.01,416857
70,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따,Amanda,2019.12.30.01,46688
71,노을,다비치,사랑의 불시착 OST Part 3,2019.12.30.01,42414
72,봄날,방탄소년단,YOU NEVER WALK ALONE,2019.12.30.01,561706
73,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6,2019.12.30.01,73460
74,나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2,2019.12.30.01,121073
75,벗,닐로(Nilo),벗,2019.12.30.01,77337
76,헤어져줘서 고마워,벤,헤어져줘서 고마워,2019.12.30.01,138967
77,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2019.12.30.01,180205
78,날 보러 와요 (Come See Me),AOA,NEW MOON,2019.12.30.01,48956
79,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album,2019.12.30.01,98409
80,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2019.12.30.01,144693
81,이별행동,이우,이별행동,2019.12.30.01,69379
82,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2019.12.30.01,171261
83,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer',2019.12.30.01,320257
84,솔직하게 말해서 나,김나영,솔직하게 말해서 나,2019.12.30.01,164873
85,그 사람,아이유,Love poem,2019.12.30.01,98149
86,텅 (Feat.김하온 (HAON)),빈첸,텅 (Feat.김하온 (HAON)),2019.12.30.01,35403
87,Popo (How deep is our love?),백예린 (Yerin Baek),Every letter I sent you.,2019.12.30.01,61736
88,그때가 좋았어,케이시 (Kassy),그때가 좋았어,2019.12.30.01,255519
89,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA,2019.12.30.01,273977
90,Trouble,EXO,OBSESSION - The 6th Album,2019.12.30.01,56514
91,그때의 우리,펀치 (Punch),그때의 우리,2019.12.30.01,23366
92,0310,백예린 (Yerin Baek),Every letter I sent you.,2019.12.30.01,127761
93,나비효과 (Butterfly Effect),EXO,OBSESSION - The 6th Album,2019.12.30.01,59557
94,춤 (Groove),EXO,OBSESSION - The 6th Album,2019.12.30.01,54756
95,"FEVER (Feat. 수퍼비, BIBI)",박진영,FEVER,2019.12.30.01,26026
96,나를 기다렸나요,한동근,나를 기다렸나요,2019.12.30.01,6841
97,지킬 (Jekyll),EXO,OBSESSION - The 6th Album,2019.12.30.01,51328
98,떨어지는 낙엽까지도,헤이즈 (Heize),만추,2019.12.30.01,56164
99,노래방에서,장범준,장범준 3집,2019.12.30.01,212763
100,Ya Ya Ya,EXO,OBSESSION - The 6th Album,2019.12.30.01,49443
1,METEOR,창모 (CHANGMO),Boyhood,2020.01.06.02,307075
2,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2020.01.06.02,245958
3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 2),2020.01.06.02,168208
4,Blueming,아이유,Love poem,2020.01.06.02,364439
5,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2020.01.06.02,217388
6,HIP,마마무 (Mamamoo),reality in BLACK,2020.01.06.02,141390
7,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,2020.01.06.02,299856
8,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",2020.01.06.02,77335
9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2020.01.06.02,436857
10,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2020.01.06.02,319194
11,Love poem,아이유,Love poem,2020.01.06.02,353279
12,나의 오랜 연인에게,다비치,나의 오랜 연인에게,2020.01.06.02,92610
13,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.01.06.02,171629
14,빌었어,창모 (CHANGMO),Boyhood,2020.01.06.02,153890
15,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2020.01.06.02,289430
16,조금 취했어 (Prod. 2soo),임재현,조금 취했어,2020.01.06.02,133875
17,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들,2020.01.06.02,82281
18,안녕,폴킴,호텔 델루나 OST Part.10,2020.01.06.02,222303
19,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,2020.01.06.02,143199
20,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,2020.01.06.02,78345
21,이 번호로 전화해줘,바이브,이 번호로 전화해줘,2020.01.06.02,69822
22,새 사랑,송하예,새 사랑,2020.01.06.02,102264
23,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2020.01.06.02,445220
24,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,2020.01.06.02,180904
25,2002,Anne-Marie,Speak Your Mind (Deluxe),2020.01.06.02,415365
26,있어줘요,장덕철,있어줘요,2020.01.06.02,90442
27,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,2020.01.06.02,83582
28,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2020.01.06.02,225941
29,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2020.01.06.02,438895
30,포장마차,황인욱,포장마차,2020.01.06.02,166110
31,다시 만날까 봐,V.O.S,다시 만날까 봐,2020.01.06.02,100131
32,니 소식,송하예,니 소식,2020.01.06.02,208908
33,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",BAND,2020.01.06.02,142207
34,이별주,황인욱,이별주,2020.01.06.02,65210
35,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,2020.01.06.02,176894
36,Obsession,EXO,OBSESSION - The 6th Album,2020.01.06.02,126034
37,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,2020.01.06.02,235558
38,첫 겨울이니까,"성시경, 아이유",첫 겨울이니까,2020.01.06.02,61031
39,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2020.01.06.02,269273
40,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,2020.01.06.02,124369
41,시간의 바깥,아이유,Love poem,2020.01.06.02,153067
42,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,2020.01.06.02,132378
43,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, Evan Rachel Wood",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.01.06.02,103225
44,너를 만나,폴킴,너를 만나,2020.01.06.02,328645
45,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),2020.01.06.02,83362
46,워커홀릭,볼빨간사춘기,Two Five,2020.01.06.02,152787
47,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2020.01.06.02,168290
48,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,2020.01.06.02,243688
49,달려,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 4),2020.01.06.02,36125
50,먹구름,윤하 (YOUNHA),UNSTABLE MINDSET,2020.01.06.02,65235
51,술이 문제야,"장혜진, 윤민수(바이브)",술이 문제야,2020.01.06.02,159147
52,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,2020.01.06.02,75581
53,가을밤 떠난 너,케이시 (Kassy),Rewind,2020.01.06.02,145409
54,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),2020.01.06.02,312915
55,Flower,윤미래,사랑의 불시착 OST Part 2,2020.01.06.02,59642
56,잘 살고 있다,V.O.S,잘 살고 있다,2020.01.06.02,40696
57,Feel Special,TWICE (트와이스),Feel Special,2020.01.06.02,120582
58,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,2020.01.06.02,119164
59,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),2020.01.06.02,273723
60,허전해,폴킴,"정규 2집 '마음, 하나'",2020.01.06.02,84016
61,헤어지자 (Prod. 정키),휘인 (Whee In),soar,2020.01.06.02,123403
62,숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON),겨울왕국 2 (한국어 버전),2020.01.06.02,82415
63,봄날,방탄소년단,YOU NEVER WALK ALONE,2020.01.06.02,561706
64,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,2020.01.06.02,177085
65,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott,Aladdin (Original Motion Picture Soundtrack),2020.01.06.02,243307
66,주저하는 연인들을 위해,잔나비,전설,2020.01.06.02,416857
67,LION,(여자)아이들,퀸덤 <FINAL 컴백 싱글>,2020.01.06.02,116949
68,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2020.01.06.02,265321
69,나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2,2020.01.06.02,121073
70,중2병,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 3),2020.01.06.02,32258
71,노을,다비치,사랑의 불시착 OST Part 3,2020.01.06.02,42414
72,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6,2020.01.06.02,73460
73,Santa Tell Me,Ariana Grande,Santa Tell Me,2020.01.06.02,246443
74,unlucky,아이유,Love poem,2020.01.06.02,131040
75,헤어져줘서 고마워,벤,헤어져줘서 고마워,2020.01.06.02,138967
76,샤넬 (Feat. 박봄),MC몽,CHANNEL 8,2020.01.06.02,46359
77,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2020.01.06.02,144693
78,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따,Amanda,2020.01.06.02,46688
79,벗,닐로(Nilo),벗,2020.01.06.02,77337
80,날 보러 와요 (Come See Me),AOA,NEW MOON,2020.01.06.02,48956
81,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album,2020.01.06.02,98409
82,솔직하게 말해서 나,김나영,솔직하게 말해서 나,2020.01.06.02,164873
83,그때가 좋았어,케이시 (Kassy),그때가 좋았어,2020.01.06.02,255519
84,이별행동,이우,이별행동,2020.01.06.02,69379
85,WINTER FLOWER(雪中梅)(Feat.RM),윤하 (YOUNHA),UNSTABLE MINDSET,2020.01.06.02,65050
86,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer',2020.01.06.02,320257
87,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA,2020.01.06.02,273977
88,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2020.01.06.02,236565
89,그 사람,아이유,Love poem,2020.01.06.02,98149
90,Trouble,EXO,OBSESSION - The 6th Album,2020.01.06.02,56514
91,나비효과 (Butterfly Effect),EXO,OBSESSION - The 6th Album,2020.01.06.02,59557
92,ROXANNE,Arizona Zervas,ROXANNE,2020.01.06.02,99065
93,춤 (Groove),EXO,OBSESSION - The 6th Album,2020.01.06.02,54756
94,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2020.01.06.02,180205
95,Nerdy Love (Feat. 백예린),pH-1,Nerdy Love (Feat. 백예린),2020.01.06.02,123460
96,지킬 (Jekyll),EXO,OBSESSION - The 6th Album,2020.01.06.02,51328
97,비,폴킴,비,2020.01.06.02,310873
98,사랑의 재개발,유산슬,뽕포유,2020.01.06.02,44633
99,Ya Ya Ya,EXO,OBSESSION - The 6th Album,2020.01.06.02,49443
100,가끔은,정효빈,가끔은,2020.01.06.02,15912
1,아무노래,지코 (ZICO),아무노래,2020.01.13.03,281594
2,METEOR,창모 (CHANGMO),Boyhood,2020.01.13.03,307075
3,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,2020.01.13.03,245958
4,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4,2020.01.13.03,139295
5,Blueming,아이유,Love poem,2020.01.13.03,364439
6,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 2),2020.01.13.03,168208
7,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,2020.01.13.03,217388
8,HIP,마마무 (Mamamoo),reality in BLACK,2020.01.13.03,141390
9,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,2020.01.13.03,299856
10,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,2020.01.13.03,319194
11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2020.01.13.03,436857
12,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",2020.01.13.03,77335
13,Love poem,아이유,Love poem,2020.01.13.03,353279
14,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,2020.01.13.03,445220
15,빌었어,창모 (CHANGMO),Boyhood,2020.01.13.03,153890
16,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,2020.01.13.03,180904
17,나의 오랜 연인에게,다비치,나의 오랜 연인에게,2020.01.13.03,92610
18,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,2020.01.13.03,289430
19,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.01.13.03,171629
20,안녕,폴킴,호텔 델루나 OST Part.10,2020.01.13.03,222303
21,조금 취했어 (Prod. 2soo),임재현,조금 취했어,2020.01.13.03,133875
22,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,2020.01.13.03,143199
23,내게 들려주고 싶은 말 (Dear Me),태연 (TAEYEON),Purpose - The 2nd Album Repackage,2020.01.13.03,59585
24,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들,2020.01.13.03,82281
25,2002,Anne-Marie,Speak Your Mind (Deluxe),2020.01.13.03,415365
26,새 사랑,송하예,새 사랑,2020.01.13.03,102264
27,이 번호로 전화해줘,바이브,이 번호로 전화해줘,2020.01.13.03,69822
28,Black Swan,방탄소년단,MAP OF THE SOUL : 7,2020.01.13.03,199857
29,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2020.01.13.03,438895
30,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,2020.01.13.03,78345
31,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,2020.01.13.03,225941
32,있어줘요,장덕철,있어줘요,2020.01.13.03,90442
33,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,2020.01.13.03,83582
34,다시 만날까 봐,V.O.S,다시 만날까 봐,2020.01.13.03,100131
35,포장마차,황인욱,포장마차,2020.01.13.03,166110
36,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은",BAND,2020.01.13.03,142207
37,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness,2020.01.13.03,75581
38,봄날,방탄소년단,YOU NEVER WALK ALONE,2020.01.13.03,561706
39,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,2020.01.13.03,176894
40,니 소식,송하예,니 소식,2020.01.13.03,208908
41,이별주,황인욱,이별주,2020.01.13.03,65210
42,Flower,윤미래,사랑의 불시착 OST Part 2,2020.01.13.03,59642
43,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2020.01.13.03,269273
44,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,2020.01.13.03,235558
45,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,2020.01.13.03,132378
46,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,2020.01.13.03,124369
47,너를 만나,폴킴,너를 만나,2020.01.13.03,328645
48,시간의 바깥,아이유,Love poem,2020.01.13.03,153067
49,Obsession,EXO,OBSESSION - The 6th Album,2020.01.13.03,126034
50,Señorita,"Shawn Mendes, Camila Cabello",Señorita,2020.01.13.03,168290
51,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,2020.01.13.03,243688
52,워커홀릭,볼빨간사춘기,Two Five,2020.01.13.03,152787
53,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA,2020.01.13.03,273977
54,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),2020.01.13.03,83362
55,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, Evan Rachel Wood",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2020.01.13.03,103225
56,첫 겨울이니까,"성시경, 아이유",첫 겨울이니까,2020.01.13.03,61031
57,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer',2020.01.13.03,320257
58,술이 문제야,"장혜진, 윤민수(바이브)",술이 문제야,2020.01.13.03,159147
59,Paris in the Rain,Lauv,I met you when I was 18. (the playlist),2020.01.13.03,312915
60,달려,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 4),2020.01.13.03,36125
61,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),2020.01.13.03,273723
62,노을,다비치,사랑의 불시착 OST Part 3,2020.01.13.03,42414
63,잘 살고 있다,V.O.S,잘 살고 있다,2020.01.13.03,40696
64,가을밤 떠난 너,케이시 (Kassy),Rewind,2020.01.13.03,145409
65,Feel Special,TWICE (트와이스),Feel Special,2020.01.13.03,120582
66,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,2020.01.13.03,119164
67,Nerdy Love (Feat. 백예린),pH-1,Nerdy Love (Feat. 백예린),2020.01.13.03,123460
68,헤어지자 (Prod. 정키),휘인 (Whee In),soar,2020.01.13.03,123403
69,허전해,폴킴,"정규 2집 '마음, 하나'",2020.01.13.03,84016
70,주저하는 연인들을 위해,잔나비,전설,2020.01.13.03,416857
71,먹구름,윤하 (YOUNHA),UNSTABLE MINDSET,2020.01.13.03,65235
72,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,2020.01.13.03,177085
73,LION,(여자)아이들,퀸덤 <FINAL 컴백 싱글>,2020.01.13.03,116949
74,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott,Aladdin (Original Motion Picture Soundtrack),2020.01.13.03,243307
75,영화 속에 나오는 주인공처럼,펀치 (Punch),동백꽃 필 무렵 (KBS2 수목드라마) OST - Part.6,2020.01.13.03,73460
76,나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2,2020.01.13.03,121073
77,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,2020.01.13.03,144693
78,숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON),겨울왕국 2 (한국어 버전),2020.01.13.03,82415
79,중2병,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",Dingo X DAMOIM (Part 3),2020.01.13.03,32258
80,너의 하루는 좀 어때,거미,낭만닥터 김사부 2 OST Part.2,2020.01.13.03,43724
81,unlucky,아이유,Love poem,2020.01.13.03,131040
82,헤어져줘서 고마워,벤,헤어져줘서 고마워,2020.01.13.03,138967
83,지구는 멸망하지 않아,우디 (Woody),지구는 멸망하지 않아,2020.01.13.03,28610
84,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따,Amanda,2020.01.13.03,46688
85,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2020.01.13.03,265321
86,날 보러 와요 (Come See Me),AOA,NEW MOON,2020.01.13.03,48956
87,그때가 좋았어,케이시 (Kassy),그때가 좋았어,2020.01.13.03,255519
88,벗,닐로(Nilo),벗,2020.01.13.03,77337
89,샤넬 (Feat. 박봄),MC몽,CHANNEL 8,2020.01.13.03,46359
90,이 노랜 꽤 오래된 거야 (A song from the past),"솔라 (마마무), 케이시 (Kassy)",이 노랜 꽤 오래된 거야 (A song from the past),2020.01.13.03,36229
91,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album,2020.01.13.03,98409
92,WINTER FLOWER(雪中梅)(Feat.RM),윤하 (YOUNHA),UNSTABLE MINDSET,2020.01.13.03,65050
93,솔직하게 말해서 나,김나영,솔직하게 말해서 나,2020.01.13.03,164873
94,이별행동,이우,이별행동,2020.01.13.03,69379
95,Make It Right,방탄소년단,MAP OF THE SOUL : PERSONA,2020.01.13.03,198682
96,comethru,Jeremy Zucker,"summer,",2020.01.13.03,236802
97,ROXANNE,Arizona Zervas,ROXANNE,2020.01.13.03,99065
98,Dionysus,방탄소년단,MAP OF THE SOUL : PERSONA,2020.01.13.03,164017
99,Santa Tell Me,Ariana Grande,Santa Tell Me,2020.01.13.03,246443
100,Trouble,EXO,OBSESSION - The 6th Album,2020.01.13.03,56514
