rank,title,singer,album,date,like
33,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.15.03,322187
41,취중고백,김민석,취중고백,2024.01.15.03,183412
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.15.03,249361
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.15.03,202590
54,해요 (2022),#안녕,해요 (2022),2024.01.15.03,97912
55,주저하는 연인들을 위해,잔나비,전설,2024.01.15.03,416855
58,After LIKE,IVE (아이브),After LIKE,2024.01.15.03,241599
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.15.03,438895
61,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.15.03,188432
65,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.15.03,135142
67,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.15.03,463005
68,우리들의 블루스,임영웅,IM HERO,2024.01.15.03,104437
70,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.15.03,239228
73,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.15.03,561706
77,다시 만날 수 있을까,임영웅,IM HERO,2024.01.15.03,84925
80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.15.03,174425
82,Butter,방탄소년단,Butter,2024.01.15.03,296563
84,무지개,임영웅,IM HERO,2024.01.15.03,74103
86,아버지,임영웅,IM HERO,2024.01.15.03,59517
87,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.15.03,265321
88,London Boy,임영웅,Polaroid,2024.01.15.03,60778
89,Polaroid,임영웅,Polaroid,2024.01.15.03,54686
90,인생찬가,임영웅,IM HERO,2024.01.15.03,54561
92,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.15.03,283178
96,A bientot,임영웅,IM HERO,2024.01.15.03,55639
16,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.22.04,287040
18,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.22.04,295879
22,Ditto,NewJeans,NewJeans 'OMG',2024.01.22.04,281588
24,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.22.04,287894
25,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.22.04,212198
29,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.22.04,206592
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.22.04,436857
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.22.04,322187
41,취중고백,김민석,취중고백,2024.01.22.04,183412
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.22.04,202590
49,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.22.04,249361
53,해요 (2022),#안녕,해요 (2022),2024.01.22.04,97912
55,주저하는 연인들을 위해,잔나비,전설,2024.01.22.04,416855
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.22.04,438895
59,After LIKE,IVE (아이브),After LIKE,2024.01.22.04,241598
65,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.22.04,188432
67,우리들의 블루스,임영웅,IM HERO,2024.01.22.04,104437
70,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.22.04,135142
71,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.22.04,463005
73,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.22.04,239228
76,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.22.04,561706
79,다시 만날 수 있을까,임영웅,IM HERO,2024.01.22.04,84925
82,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.22.04,174425
86,Butter,방탄소년단,Butter,2024.01.22.04,296563
87,무지개,임영웅,IM HERO,2024.01.22.04,74103
88,아버지,임영웅,IM HERO,2024.01.22.04,59517
90,London Boy,임영웅,Polaroid,2024.01.22.04,60778
91,Polaroid,임영웅,Polaroid,2024.01.22.04,54686
92,인생찬가,임영웅,IM HERO,2024.01.22.04,54561
94,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.22.04,283178
95,A bientot,임영웅,IM HERO,2024.01.22.04,55639
100,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.22.04,265321
17,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.29.01,295879
