title,singer,years,more_than_3
꽃송이가,버스커 버스커,"[2016, 2012, 2013, 2014, 2015]",1
벚꽃 엔딩,버스커 버스커,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2012]",1
봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유","[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2014, 2015]",1
봄이 좋냐??,10CM,"[2016, 2017, 2018]",1
우연히 봄,"로꼬, 유주 (YUJU)","[2016, 2020, 2022, 2023, 2024, 2015]",1
