rank,title,singer,album,date,like,year,month,day,week,season
89,Talk Saxy,RIIZE,Talk Saxy,2024.01.22.04,50088,2024,1,22,4,1
93,화이트 (White),폴킴,화이트 (White),2024.01.22.04,18814,2024,1,22,4,1
94,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.22.04,283178,2024,1,22,4,1
95,A bientot,임영웅,IM HERO,2024.01.22.04,55639,2024,1,22,4,1
96,숲,최유리,유영,2024.01.22.04,113667,2024,1,22,4,1
97,어른,Sondia,나의 아저씨 OST Part.2,2024.01.22.04,245738,2024,1,22,4,1
98,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.22.04,33824,2024,1,22,4,1
99,희재,성시경,국화꽃 향기 OST,2024.01.22.04,161671,2024,1,22,4,1
100,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.22.04,265321,2024,1,22,4,1
74,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.29.01,39656,2024,1,29,1,1
78,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.29.01,135142,2024,1,29,1,1
82,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.29.01,42790,2024,1,29,1,1
86,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.29.01,46175,2024,1,29,1,1
87,Talk Saxy,RIIZE,Talk Saxy,2024.01.29.01,50088,2024,1,29,1,1
90,I Love My Body,화사 (HWASA),I Love My Body,2024.01.29.01,34652,2024,1,29,1,1
96,A bientot,임영웅,IM HERO,2024.01.29.01,55639,2024,1,29,1,1
97,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.29.01,283178,2024,1,29,1,1
98,숲,최유리,유영,2024.01.29.01,113667,2024,1,29,1,1
99,어른,Sondia,나의 아저씨 OST Part.2,2024.01.29.01,245738,2024,1,29,1,1
100,희재,성시경,국화꽃 향기 OST,2024.01.29.01,161671,2024,1,29,1,1
77,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.05.02,135142,2024,2,5,2,1
78,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.02.05.02,39656,2024,2,5,2,1
85,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.02.05.02,42790,2024,2,5,2,1
